Nome;Titulação;Pesquisador;Projetos Ativos
Itamar Soares Veiga;Doutorado;Sim;"
Heidegger e Foucault - Lições para a Contemporaneidade"
Jaqueline Stefani;Doutorado;Sim;"Investigação sobre o conceito aristotélico de acrasia,Ética aristotélica,
Compreensão desde uma perspectiva hermenêutica"
Jéssica Kanopp dos Reis;Doutorado;Sim;"INCENDIOS EM COMPARTIMENTOS: APRIMORAMENTO DO ENTENDIMENTO DE CONCEITOS FISICOS FUNDAMENTAIS COM FOCO NO DESENVOLVIMENTO DE FERRAMENTAS DE ENGENHARIA,ESTUDO NUMERICO-EXPERIMENTAL DE INCENDIOS EM TANQUES DE ARMAZENAMENTO DE COMBUSTIVEIS LIQUIDOS"
Juliano Rodrigues Gimenez;Doutorado;Sim;"ECOSSISTEMA REGIONAL DE INOVAÇÃO SERRA E HORTÊNSIAS INOVA RS: DO MAPEAMENTO ÀS AÇÕES DE CONSOLIDAÇÃO DA QUÍNTUPLA HÉLICE,
Criação de um modelo de inteligência artificial para previsão e identificação de infecções por SARS-COV-2 considerando testes RT-PCR e sorologia IGG E IGM,MAPEAMENTO E DESENVOLVIMENTO DO ECOSSISTEMA DE INOVAÇÃO DA REGIÃO DA SERRA E HORTÊNSIAS INOVA RS,Sustentabilidade e vulnerabilidade dos Recursos Hídricos na produção de frutigranjeiros na região do Corede Campos de Cima da Serra,
Sustentabilidade e Vulnerabilidade dos Recursos Hídricos na Produção de Frutigranjeiros na Região dos Campos de Cima da Serra"
Justina Inês Fronza Brigoni;Mestrado;Não;
Leandro Luis Corso;Doutorado;Não;
Leonardo Cabral;Mestrado;Não;
Leonardo Dagnino Chiwiacowsky;Doutorado;Sim;"Otimização integrada das operações de armazenagem e separação de itens em armazéns"
Leonardo Pellizzoni;Doutorado;Não;
Lílian Vanessa Rossa Beltrami;Doutorado;Sim;"INFLUÊNCIA DA PRESSÃO PARCIAL DE NITROGÊNIO DURANTE PROCESSO PVD NA APLICAÇÃO DE REVESTIMENTO SOBRE O AÇO RÁPIDO M2,
Estudo da resistência à corrosão em diferentes eletrólitos de um substrato de ferro fundido revestido com cromo duro aplicado na indústria de alimentos,OBTENÇÃO E MODIFICAÇÃO DE ESTRUTURAS CARBONOSAS PARA POTENCIAIS APLICAÇÕES DE ARMAZENAMENTO DE ENERGIA - GRAFENOENERGIA,
AEROGEL À BASE DE NANOCELULOSE CARBONIZADA PARA POTENCIAL APLICAÇÃO COMO ELETRODOS EM SISTEMAS DE ARMAZENAMENTO DE ENERGIA,
Desempenho anticorrosivo e de autocura de revestimento híbrido á base de silano combinado à nanofibras de celulose e imidazol aplicados sobre o aço carbono e recobertos com resina epoxi,Desenvolvimento de nanocompositos polimericos contendo grafeno funcionalizado para aplicacao em tratamento cutaneo e medicina regenerativa,
DESENVOLVIMENTO DE COMPÓSITOS POLIMÉRICOS CONTENDO GRAFENO APLICÁVEIS APROTOTIPAGEM 3D DE MATERIAIS PARA A ODONTOLOGIA - ODONTOGRAFENO"
Lucas Mateus Dalsotto;Doutorado;Sim;"Políticas públicas, normatividade e a questão do risco"
Luis Rafael Bonetto;Mestrado;Sim;"Desenvolvimento de membranas verdes com polímeros biodegradáveis de matriz renovável e solventes ambientalmente amigáveis,Utilização de Resíduos de Biomassa Vegetal e de Ligninas para a Remoção de Corantes e Metais de Efluentes Industriais"
Magda Macedo Madalozzo;Doutorado;Sim;"CULTSEG-2 - CULTURA DE SEGURANÇA DO PACIENTE SOB A PERSPECTIVA DOS FATORES PSICOSSOCIAIS NO TRABALHO,
Fatores Psicossociais e a Subnotificação de Eventos Adversos: Impactos na Segurança do Paciente,
FATORES PSICOSSOCIAIS E CARACTERÍSTICAS DO TRABALHO DOS PROFESSORES DE EDUCAÇÃO BÁSICA DO RIO GRANDE DO SUL,Fatores psicossociais presentes no trabalho relacionado às situações de desastres e saúde mental (resgate, acolhimento, tratamento, segurança, limpeza e outros)"
Magda Mantovani Lorandi;Mestrado;Não;
Marcos Eduardo Casa;Mestrado;Não;
Maria de Fátima Webber do Prado Lima;Doutorado;Sim;"UnderMine - UnderMine Text Miner : Software de Mineração de Textos Educacionais,Gamificação dos Espaços de Aprendizagem"
Marilda Machado Spindola;Doutorado;Não;
Marinês Refosco Severo Bertola;Mestrado;Não;
Maurício Monteiro Almeron;Mestrado;Não;
Melissa Baccon;Mestrado;Não;
Micheli Porn da Silva;Mestrado;Não;
Monica Scotti;Mestrado;Não;
Odacir Deonisio Graciolli;Doutorado;Sim;"SIA - Sistema de Informação Ambiental - Fase IV"
Odair Camati;Doutorado;Sim;"Filosofia social e política: relações entre teoria crítica e teorias da democracia"
Patrícia Montemezzo;Mestrado;Não;
Ramon Victor Tisott;Doutorado;Não;
Ricardo Leal Costi;Mestrado;Não;
Ricardo Vargas Dorneles;Doutorado;Não;
Rodrigo Tregnago;Mestrado;Não;
