Sigla IES;Nome;Autores
UFU;FORMULAÇÕES PARA CONTROLE DE FITOBACTÉRIAS;['ANA MARIA BONETTI', 'RAFAELA CAVALCANTE CERQUEIRA', 'JOBERTH LEE CORREA', 'LUCAS MATOS MARTINS BERNARDES', 'TAMIRIS SABRINA RODRIGUES', 'ANA CAROLINA COSTA SANTOS', 'MURILLO NEIA THOMAZ DA SILVA', 'NILVANIRA DONIZETE TEBALDI', 'LUCIANA MACHADO BASTOS', 'ANDERSON RODRIGUES DOS SANTOS', 'CARLOS UEIRA VIEIRA']
UFS;ÁGUA DE COCO GASEIFICADA E ENRIQUECIDA COM MILICAPSULAS DE POLPA  DE COCO;['ROBERTO RODRIGUES DE SOUZA', 'FABIANA MELO SOARES', 'ALESSANDRA ALMEIDA CASTRO PAGANI']
UTFPR;MÉTODO PARA CALCULAR ELETRÔNICA A FATURA DE ENERGIA ELÉTRICA CONSIDERANDO DIFERENTES FORNECEDORES NOS AMBIENTES LIVRE E REGULADO DE CONTRATAÇÃO;['ELIAS LIRA DOS SANTOS JUNIOR', 'EVANDRO ANDRE KONOPATZKI']
UFOP;PROCESSO DE OBTENÇÃO DO ACETATO DE 4-METIL-2- PROPILTETRAIDRO-2H-PIRAN-4-IL VIA CICLIZAÇÃO PRINSACETILAÇÃO TANDEM CATALISADO POR HETEROPOLIÁCIDOS;['KELLY ALESSANDRA DA SILVA ROCHA', 'ELVIS JUVENTINO ARAUJO', 'CAMILA GROSSI VIEIRA']
UNB;MÉTODO DE CRISTALIZAÇÃO DE NANOPARTÍCULAS LIPÍDICAS SÓLIDAS COM DIFERENTES DIÂMETROS;['SONIA NAIR BAO', 'LUANE DE ALMEIDA SALGADO', 'LUISA SCHUH VARGAS', 'ISADORA FLORENCIO DE SOUZA', 'DAFNE CAROLLINE CARVALHO MARQUES', 'VICTOR CARLOS MELLO DA SILVA', 'ARIANE PANDOLFO SILVEIRA']
UFU;USO DE PALMA FORRAGEIRA COMO SUBSTITUTO DE ÓLEO EM MAIONESE;['VIVIAN MACHADO BENASSI', 'MARCIO SCHMIELE']
FIOCRUZ;COMPOSIÇÃO ANTIMALÁRICA DE CURCUMINA, MÉTODO DE TRATAMENTO DA MALÁRIA E USO DA COMPOSIÇÃO ANTIMALÁRICA;['MARCOS ANDRE VANNIER DOS SANTOS']
UFCG;SISTEMA DE MONITORAMENTO QUALI-QUANTITATIVO E MODELO INFERENCIAL PARA PREDIÇÃO DE CONTAMINAÇÃO MICROBIOLÓGICA POR COLIFORMES TOTAIS E E. COLI EM RESERVATÓRIOS DE ÁGUA PARA CONSUMO HUMANO;['PATRICIA HERMINIO CUNHA FEITOSA', 'MATEUS CLEMENTE DE LACERDA', 'MARILIA MARCY CABRAL DE ARAUJO']
ILAPEO;CONJUNTO PROTÉTICO DE COMPONENTE POLIMÉRICO E PROCESSO PARA PRODUÇÃO DO MESMO;['GENINHO THOME']
UNB;MÉTODO DE OBTENÇÃO DE NANOSSÍLICA FUNCIONALIZADA COM  AMINOSILANO POR REAÇÃO DIRETA;['PAULO CESAR DE MORAIS', 'FABRÍCIO MACHADO SILVA', 'JOAO HENRIQUE DA SILVA REGO', 'MARIA JOSE DE SOUZA SERAFIM']
UNB;PEPTÍDEO BIOINSPIRADO DA PEÇONHA DE VESPAS SOCIAIS ASSOCIADO A NANOTECNOLOGIA E SEU USO COMO ANTIEPILÉPTICO E NEUROPROTETOR;['GRAZIELLA ANSELMO JOANITTI', 'SAMUEL SILVA MORAIS', 'ALICIA SIMALIE OMBREDANE', 'MARCIA RENATA MORTARI']
UFPB-AREIA;CÁPSULA BIODEGRADÁVEL PARA ACONDICIONAMENTO E LIBERAÇÃO DE INIMIGOS NATURAIS;['JOSE BRUNO MALAQUIAS', 'ÉRICA KARINE DE ARAÚJO', 'IAGO VENANCIO ISIDORO SILVA', 'JACINTO DE LUNA BATISTA', 'ANGELINE MARIA DA SILVA SANTOS']
UEM;PROCESSO EMERGENTE PARA OBTENÇÃO DE EXTRATO ALELOPÁTICO DE FEIJÕES DE MUCUNA;['LUCIO CARDOZO FILHO', 'CAMILA DA SILVA FREIRES', 'OSCAR DE OLIVEIRA SANTOS JUNIOR']
UNIEVANGÉLICA;FOTORREATOR UV-LED EM FLUXO, SEU PROCESSO DE DESIGN E ELABORAÇÃO;['LUCAS DANILO DIAS']
UFPE;FORMULAÇÃO FARMACÊUTICA TRANSDÉRMICA CONTENDO CLORIDRATO DE DULOXETINA;['DAVI PEREIRA DE SANTANA', 'KAROLINE BELEM SEIXAS', 'ALISSON MACARIO DE OLIVEIRA', 'LEILA BASTOS LEAL', 'THIAGO HENRIQUE NAPOLEAO', 'DANILO CESAR GALINDO BEDOR', 'ANA AMELIA MOREIRA LIRA']
IFCATARINENSE;INVENÇÃO IMPLEMENTADA POR PROGRAMA DE COMPUTADOR PARA COMERCIALIZAÇÃO DE BOVINOS DE CORTE;['CARLOS EDUARDO NOGUEIRA MARTINS', 'RAFAELA DE OLIVEIRA NUNES']
UFSC;UTILIDADE (54):  COMPOSIÇÃO AUXILIAR PARA USO EM RETRATAMENTOS ENDODÔNTICOS A BASE DE XILOL, ENRIQUECIDA COM ETILCELULOSE E ÓLEO DE LARANJA/EUCALIPTOL;['HELLEN KARINE STULZER KOERICH']
USP;BATERIAS FLEXÍVEIS DO TIPO CHUMBO ÁCIDO BASEADOS NO CONCEITO DE CÉLULAS A COMBUSTÍVEL E SEUS USOS;['ALMIR OLIVEIRA NETO']
UTFPR;VEÍCULO GUIADO DE ENTREGA DE ALIMENTOS E MEDICAMENTOS PARA PACIENTES EM ISOLAMENTO HOSPITALAR;['PEDRO LUIZ DE PAULA FILHO', 'JONIERSON DE ARAUJO DA CRUZ', 'ANGELO MARCELO TUSSET']
UP;PROCESSO INDUSTRIAL PARA PRODUÇÃO DE BIOMATERIAL DE HIDROXIAPATITA BETA TRIFOSFATO DE CÁLCIO;['FERNANDO WYPYCH', 'SABRINA CUNHA DA FONSECA', 'ANNE RAQUEL SOTILES', 'MOIRA PEDROSO LEAO', 'JOAO CESAR ZIELAK', 'CELIA REGINA CAVICHIOLO FRANCO']
UENF;OTIMIZAÇÃO DE SISTEMA DE BLINDAGEM MULTICAMADAS DE COMPÓSITO DE MATRIZ EPÓXI COM TECIDO DE SISAL (AGAVE SISALANA) MERCERIZADO COM HIDRÓXIDO DE SÓDIO;['SERGIO NEVES MONTEIRO', 'ARTUR CAMPOSO PEREIRA']
UENF;OTIMIZAÇÃO DE SISTEMA DE BLINDAGEM MULTICAMADAS DE COMPÓSITO DE MATRIZ EPÓXI COM FIBRA DE BUCHA (LUFFA CYLLINDRICA) FUNCIONALIZADA COM ÓXIDO DE GRAFENO;['SERGIO NEVES MONTEIRO', 'ARTUR CAMPOSO PEREIRA']
UFC;METHOD AND APPARATUS FOR CHANGING SERVICE CONFIGURATION OF ACCESS NODE IN COMMUNICATION NETWORK;['WALTER DA CRUZ FREITAS JUNIOR', 'MARIA CLARA RODRIGUES LOBAO', 'ROBERTO PINTO ANTONIOLI', 'Gabor Fodor', 'JUNO VITORINO SARAIVA', 'YURI CARVALHO BARBOSA SILVA']
UCB;SISTEMA DE ERROS INATOS DA IMUNIDADE - SEI2;['LUIZ SERGIO FERNANDES DE CARVALHO']
