Sigla da IES;Instituição;Patente;Autores
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;CONSTRUÇÃO DE DUAS CEPAS DE MYCOBACTERIUM BOVIS BCG RECOMBINANTE EXPRESSANDO A PROTEÍNA DE LISTERIOLISINA O (LLO) PARA TRATAMENTO DE MELANOMA A PARTIR DE DOIS VETORES DE EXPRESSÃO DISTINTOS;['FABIANA KOMMLING SEIXAS', 'VALENTINA GESSINGER FERREIRA', 'THAIS LARRE OLIVEIRA BOHN', 'STELLA JULLI FARIAS CARDOZO', 'NIELI SILVA SOUZA', 'MAYARA YASMIN DA SILVA', 'MARIA EDUARDA EHLERT', 'GILCA COSTA NACHTIGAL', 'BRUNA SILVEIRA PACHECO', 'FERNANDA SEVERO SABEDRA SOUSA', 'MIRNA SAMARA DIE ALVES', 'SIBELE BORSUK', 'TIAGO VEIRAS COLLARES']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;MATERIAL CIMENTÍCIO COM ADIÇÃO DE BIOCHAR, PROCESSO DE PRODUÇÃO E USO DO MESMO;['MARCELO GODINHO', 'MAURICIO MONTEIRO ALMERON']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;PROCESSO DE OBTENÇÃO, REFINAMENTO E CONCENTRAÇÃO DO EXTRATO PIROLENHOSO E SEU USO NA AGRICULTURA, NUTRIÇÃO ANIMAL E BIOESTIMULAÇÃO DA COMPOSTAGEM E COMPOSIÇÃO REPELENTE;['ALEXANDRE MENEGHELLO FUENTEFRIA', 'MIRIAM ANDERS APEL']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PROCESSO DE CULTIVO PARA AUMENTO DA PRODUÇÃO DE FICOPIGMENTOS EM CIANOBACTÉRIAS;['JORGE ALBERTO VIEIRA COSTA', 'JESSICA TEIXEIRA DA SILVEIRA', 'ANA PRISCILA CENTENO DA ROSA', 'MICHELE GREQUE DE MORAIS']
UCPEL;UNIVERSIDADE CATÓLICA DE PELOTAS;ECOSSISTEMA E ARQUITETURA DIGITAL DE MONITORAMENTO DE SINAIS DE SAÚDE POR DISPOSITIVOS VESTÍVEIS EM TEMPO REAL;['GIANCARLO LUCCA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;A SYSTEM AND A METHOD FOR POWERING A PLURATY OF ELECTRODES, AN ELECTRICAL WEEDING DEVICE, AND, A VEHICLE;['VITOR CAMARGO NARDELLI', 'RAFAEL ROANI FEIJÓ', 'LUIZ HENRIQUE VICENTE', 'LEONARDO ZANETTI ROCHA', 'KEVYN SILVA DOS SANTOS', 'FELIPE ARNHOLD', 'BRUNA EVELIN GOMES', 'ESTEVAN LINCK LARA', 'ROGERIO VICTORIO FERNANDES BALLESTRIN', 'WILLIAM SCIACCA GARCIA', 'LUIS GUSTAVO PIRES RODRIGUES', 'MARIO LUCIO DA SILVA MARTINS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;MÉTODO PARA RECONSTRUÇÃO DE SINAL SENOIDAL DE VARIÁVEL ELÉTRICA COM MENSAGENS SAMPLED VALUES CORROMPIDAS;['DANIEL PINHEIRO BERNARDON', 'RENAN LOPES BRAGA GOMES', 'FERNANDO ANUNCIACAO BUDZINSKI', 'ADRION ANDREI ROSANELLI', 'ANGELO FELIPE SARTORI', 'WAGNER SEIZO HOKAMA', 'ANTONIO MARIO KAMINSKI JUNIOR', 'FLAVIO GARLET RECK', 'JHONATAN ANTONIO CASSOL', 'LUCAS MAZIERO', 'FILIPE GABRIEL CARLOTO', 'ADRIANO PERES DE MORAIS', 'AECIO DE LIMA OLIVEIRA', 'CARLOS HENRIQUE BARRIQUELLO', 'ULISSES CHEMIN NETTO', 'DIOMAR ADONIS COPETTI LIMA']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;PROCESSO DE PRODUÇÃO DE ESTRUVITA;['RAFAEL KOHL SPOHR', 'LADEMIR LUIZ BEAL']
UCS;UNIVERSIDADE DE CAXIAS DO SUL;COMPÓSITO COMPREENDENDO GRAFENO E/OU SEUS DERIVADOS, PROCESSO DE OBTENÇÃO E USO DO MESMO;['DIEGO PIAZZA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PROCESSO DE EDIÇÃO GÊNICA POR CRISP/CAS9 PARA GERAÇÃO DE LINHAGENS CELULARES SUÍNAS COM KNOCKOUT DE GENES RELACIONADOS AO CÂNCER DE BEXIGA;['FABIANA KOMMLING SEIXAS', 'ISADORA ANDRE ROSA LOPES', 'JULIA DAME FONSECA PASCHOAL', 'BRUNA SILVEIRA PACHECO', 'TIAGO VEIRAS COLLARES']
