Sigla da IES;Instituição;Publicação;Tipo de produção;Autores
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DETERMINAÇÃO DE ENXOFRE EM CARVÃO MINERAL APÓS PREPARO DE AMOSTRA POR MIC-DV;DISSERTAÇÃO;['DIEGO TEOTONIO GOMES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Uso de enzimas para degradação de petróleo presente em águas salinas;DISSERTAÇÃO;['MARIANNE SILVA SCHAEFFER']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;INVESTIGAÇÃO DA TEMPERATURA MESOSFÉRICA SOBRE A ESTAÇÃO ANTÁRTICA COMANDANTE FERRAZ POR MEIO DA TÉCNICA DE AEROLUMINESCÊNCIA VALIDADA COM DADOS DE SATÉLITES;DISSERTAÇÃO;['BEATRIZ DE SOUZA FREITAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE METODOLOGIA DE MICROEXTRAÇÃO LÍQUIDO-LÍQUIDO DISPERSIVA PARA ANÁLISE DE COMPOSTOS ORGÂNICOS SEMI-VOLÁTEIS EM ÁGUA SUBTERRÂNEA;DISSERTAÇÃO;['FERNANDA CAUDURO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;INFLUÊNCIA DOS FLUXOS DE CALOR OCEÂNICOS NA FORMAÇÃO DOS  CICLONES EXTRATROPICAIS NO ATLÂNTICO SUL;DISSERTAÇÃO;['CAMILA FERREIRA RUSSO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;INTERAÇÕES DE CARBONATOS E ARGILOMINERAIS NA FORMAÇÃO BARRA VELHA, SEÇÃO PRÉ-SAL DA BACIA DE SANTOS, BRASIL;TESE;['ARGOS BELMONTE SILVEIRA SCHRANK']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;“Efeitos auto  consistentes na aceleração ponderomotriz em feixes de elétrons” (“Self-consistent effects in  the ponderomo3ve accelera3on of electron beams”);TESE;['IVANESSA DA SILVEIRA ALMANSA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Extracting Displacement Maps through Differentiable Rendering and Dynamic Tessellation;DISSERTAÇÃO;['GUILHERME GOMES HAETINGER']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Comportamento eletrostático em interface líquido-sólido: estratégias para detecção de fluxo de líquidos;DISSERTAÇÃO;['YAN ARAUJO SANTOS DA CAMPO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;FILMES DE NANOCOMPÓSITOS DE POLIPIRROL E NANOTUBOS DE CARBONO: SÍNTESE E CARACTERIZAÇÃO VISANDO APLICAÇÃO EM SENSORES ELETROQUÍMICOS;DISSERTAÇÃO;['LUIZA DE MATTOS MANICA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Formação estelar e propriedades químicas de galáxias locais com baixas massa e metalicidade: Os casos de SDSS J0205-0814 and ESO 400-43 (Star Formation and Chemical Properties in Nearby Metal-Poor Low-Mass Galaxies: The cases of SDSS J0205-0814 and ESO 400-43);TESE;['AUGUSTO EDUARDO LASSEN']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Exploração dos Vetores Críticos à Radiação na Síntese de Circuitos Combinacionais Aproximados;TESE;['MATHEUS FERREIRA PONTES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;"""Períodos Fotométricos de Rotação de Estrelas Anãs Brancas"" (""Photometric White Dwarf Rotation"")";DISSERTAÇÃO;['GABRIELA OLIVEIRA DA ROSA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;IMPLEMENTAÇÃO DE METODOLOGIAS SUSTENTÁVEIS PARA A DETERMINAÇÃO DE FÁRMACOS, AGROTÓXICOS E COMPOSTOS ODORÍFEROS EM ÁGUAS SUPERFICIAIS;DISSERTAÇÃO;['ROBERTA NATALI DO AMARAL ZUCATTI']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;An essay on mixed-frequency data, agregated time series, and causality								 								 								;DISSERTAÇÃO;['RAFAEL BERNARDONI CHAVES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ANÁLISE DE MISTURAS E MONITORAMENTO DA TROCA ISOTÓPICA H/D EM FÁRMACOS POR RESSONÂNCIA MAGNÉTICA NUCLEAR;TESE;['MARILIA VILELA SALVADOR']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CONTRIBUIÇÃO AO CONHECIMENTO DOS CINODONTES GOMPHODONTOSUCHINAE (CYNODONTIA, TRAVERSODONTIDAE) DO TRIÁSSICO DO RIO GRANDE DO SUL, BRASIL;TESE;['MAURICIO RODRIGO SCHMITT']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;DESENVOLVIMENTO DE UM NOVO APLICATIVO MOBILE PARA REALIZAÇÃO DE EXAMES EM FISIOTERAPIA;DISSERTAÇÃO;['STEFAN GUILHERME SCHNEIDER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;A Machine Learning Approach for Petroleum Production Forecasting in a Digital Twin;DISSERTAÇÃO;['MARCOS VINICIUS LUDWIG PIVETTA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Uncovering Discrimination Generated by Different Machine Learning Methods using Data Visualization;DISSERTAÇÃO;['JUDITH ESCALANTE CALCINA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Avaliando a influência de um fator de correção de preços de ações na capacidade preditiva de modelos baseados em redes neurais recorrentes;DISSERTAÇÃO;['JAIR ORLANDO GONZALEZ CARMONA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;EFEITO DO CLIMA NA DINÂMICA DAS COMUNIDADES FITOPLANCTÔNICAS NO OCEANO AUSTRAL;DISSERTAÇÃO;['RAUL RODRIGO COSTA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;ECOLOGIA E BIOGEOGRAFIA DE DINOFLAGELADOS ATECADOS DA PENÍNSULA ANTÁRTICA;TESE;['CHARIANE CAMILA WERLANG']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;EXPLORANDO CORREÇÕES DE VAN DER  WAALS NA DESCRIÇÃO TEÓRICA DE INTERAÇÕES DE H2O COM MATERIAIS BIDIMENSIONAIS;DISSERTAÇÃO;['TULIO GNOATTO GRISON']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Estudo de equações de adevcção-difusão conservativas e estimativas de comutadores em espaços de Lebesgue com pesos;TESE;['JUNIELSON PANTOJA DE AQUINO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;VALIDANDO ESCALONAMENTO BASEADO EM INTERFERÊNCIA EM AMBIENTES CONTEINERIZADOS;DISSERTAÇÃO;['JOSE ANTONIO COLPO DE ARAUJO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;REVISÃO MORFOLÓGICA E TAXONÔMICA DE PAMPATHERIIDAE (CINGULATA, XENARTHRA): ÊNFASE NOS TÁXONS QUATERNÁRIOS NEOTROPICAIS;TESE;['THAIS MATOS PEREIRA FERREIRA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Avaliação de catalisadores de níquel e bentonita na co-pirólise de resíduos industriais de biomassa e plásticos;DISSERTAÇÃO;['ARTHUR MOTTA DE ANDRADE']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PATTERN DETECTION STRATEGY APPLIED TO CRIME INVESTIGATION IN IOT ENVIRONMENTS;DISSERTAÇÃO;['GUILHERME DALL AGNOL DECONTO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EVOLUÇÃO GEOLÓGICA E HIDROESTRATIGRAFIA DO AQUÍFERO COSTEIRO DE GAROPABA/SC: INTERPRETAÇÃO A PARTIR DE GEORADAR E POÇOS TUBULARES;DISSERTAÇÃO;['GABRIEL BARBOSA DRAGO']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DIMENSIONAL SPEECH EMOTION RECOGNITION FROM BIMODAL FEATURES;DISSERTAÇÃO;['LARISSA DAIANE CANEPPELE GUDER']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;O papel da água na adsorção do diclofenaco em nanotubos de carbono;DISSERTAÇÃO;['PATRICK RUAM BREDOW CORTES']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;PEROXIDASE APLICADA NA DEGRADAÇÃO SIMULTÂNEA DE MICOTOXINAS E AGROTÓXICO EM ÁGUA DA CADEIA PRODUTIVA DE ARROZ;DISSERTAÇÃO;['EDIANE PATRICIA PEDROSA BRAGA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;RELAÇÕES SOBRE ANÉIS E MÓDULOS DE N-CADEIA;TESE;['ADRIANO GOMES DE SANTANA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;An Ultra Low-Energy VLSI Approximate Discrete Haar Wavelet Transform for ECG Data Compression;DISSERTAÇÃO;['ARTHUR CARDOZO GODINHO']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Regressão Modal: estimação consistente via regressão quantílica suavizada;DISSERTAÇÃO;['EDUARDO SCHIRMER FINN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;AVALIAÇÃO DA TURBIDEZ E DO MATERIAL PARTICULADO EM SUSPENSÃO NA LAGOA DOS PATOS  SENSORIAMENTO REMOTO;DISSERTAÇÃO;['RAFAEL AVILA SIMAO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Evolution of Central Galaxies in Massive Halos;TESE;['VANESSA LORENZONI']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Síntese de benzo[b]tiofenos funcionalizados com organocalcogênios usando Selectfluor® como agente oxidante;TESE;['JEAN CARLO KAZMIERCZAK']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;CNN-based Methods and Datasets for Segmentation and Counting of Nuclei and AgNORs in AgNOR-stained Images and for Segmentation and Classification of Cells in Papanicolaou-stained Images;DISSERTAÇÃO;['MAIKEL MACIEL RONNAU']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;ARCABOUÇOS POLIMÉRICOS PBAT 3D PRODUZIDOS ATRAVÉS DA MODELAGEM POR DEPOSIÇÃO FUNDIDA (FDM) E MODIFICADOS SUPERFICIALMENTE PARA APLICAÇÃO EM ENGENHARIA DE TECIDO ÓSSEO;TESE;['FELIPE CASTRO MENEZES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SÍNTESE E ESTUDOS FOTOFÍSICOS DE DERIVADOS FLUORESCENTES DE INDOLIZINAS;TESE;['MARCELO MARQUES VIEIRA']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PREDICTIVE METRIC FOR OPTIMAL BUDGET ALLOCATION IN DIFFERENTIAL PRIVACY;TESE;['HENRY CABRAL NUNES']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;PREDICTING UNCANNY PERCEPTION IN VIRTUAL HUMANS FACES THROUGH COMPUTERVISION TECHNIQUES;TESE;['GREICE PINHO DAL MOLIN']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;INTERAÇÕES AMBIENTAIS ENTRE ÁGUA SUBTERRÂNEA, NUTRIENTES INORGÂNICOS E BIOMASSA DE CLOROFILA-A EM PRAIA DISSIPATIVA (RIO GRANDE-RS);DISSERTAÇÃO;['ANY CARTAGENA PIMENTA BARRONCAS']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;"DINÂMICA DE MICROALGAS EPÍFITAS E EPIBÊNTICAS EM PRADARIAS DE GRAMAS MARINHAS: VARIABILIDADE ESPAÇO-TEMPORAL E CONTROLES ""BOTTOM-UP"" E ""TOP-DOWN";TESE;['VANESSA CORREA DA ROSA']
UPF;UNIVERSIDADE DE PASSO FUNDO;SOLUÇÃO DE TIMETABLING PARA UNIVERSIDADE COM FOCO NA OTIMIZAÇÃO PARA AVALIAÇÃO DOS CURSOS PELO ENADE;DISSERTAÇÃO;['MATHEUS FELIPE FABIAN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Nyström Method Applied to Two-dimensional Neutral Particle Transport Problems in Heterogeneous Media;TESE;['GUSTAVO ALCIDES LORENSI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Aprendizado de Máquina para Predição de Sequelas de Pacientes Com Diagnóstico de COVID 19;DISSERTAÇÃO;['CHRISTIAN GIMENEZ BARANANO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Uso da proteína de semente de cânhamo para microencapsulação de nutrientes assistida por ultrassom;TESE;['VITORIA HAGEMANN CAUDURO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;INFLUÊNCIA DA DESCARGA FLUVIAL E DO VENTO NO TRANSPORTE DE MICROPLÁSTICOS NA LAGOA DOS PATOS;DISSERTAÇÃO;['THAIS TEIXEIRA GAVA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Planejamento de Rotas de Cobertura para Veículos Aéreos Não Tripulados Aplicados no Controle Biológico de Pragas em Cenários Reais de Grandes Áreas;TESE;['BRUNO SIQUEIRA DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;KTWIN: A Serverless Kubernetes-based Digital Twin Platform;DISSERTAÇÃO;['ALEXANDRE GUSTAVO WERMANN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Desenvolvimento de materiais nanoestruturados e magnéticos para aplicações biomédicas;TESE;['RAFAELA CARVALHO DE ANDRADE']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;MODELOS PRESA-PREDADOR: MUITO ALÉM DO LOTKA-VOLTERRA;DISSERTAÇÃO;['FERNANDO LUIS STRAPAZZON']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Transmissão Confiável de Imagens em Pub/Sub para IoT;DISSERTAÇÃO;['EVERSON DA SILVA FLORES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Diretrizes de Acessibilidade em Ambientes de Desenvolvimento Integrado para Estudantes Cegos ;TESE;['ELIANA ZEN']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SISTEMAS FLUVIAIS DOMINADOS POR ESTRUTURAS SUPERCRÍTICAS EM CLIMA SEMIÁRIDO NO EOTRIÁSSICO: REINTERPRETAÇÃO SEDIMENTAR DA FORMAÇÃO SANGA DO CABRAL;TESE;['PEDRO LUIS AMMON XAVIER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Adsorventes de TiO2 preparado pelo método sol-gel para cleanup em preparo amostras;DISSERTAÇÃO;['JULIANO EDUARDO ALVES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;“Análise Numérica da Existência e Evolução de Droplets Quânticos em Condensados de Bose-Einstein” (“Numerical Analysis of the Existence and Evolution of Quantum Droplets in Bose-Einstein Condensates”);DISSERTAÇÃO;['ENRIQUE AUGUSTO TIRAN CALDEROLI']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Remoção de contaminantes em fase aquosa utilizando bioadsorventes à base de quitosana e spirulina sp.;TESE;['RAFAEL GERHARDT']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Estudo computacional da adsorção de baicaleína em substratos de grafeno e ouro via DFT;DISSERTAÇÃO;['THIAGO FERREIRA SANTOS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Optimizing the Squad: Integrating Managerial Tactics into Football Team Composition via Integer Programming;DISSERTAÇÃO;['GUILHERME PETTENE DANTAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;“Dinâmica Molecular da Dessalinização da Água por Membrana Nanoporosa de MoS2” (“Molecular Dynamics of Water Desalination by MoS2 Nanoporous Membrane”);TESE;['JOAO PEDRO KLEINUBING ABAL']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Grupoides e Semigrupos Inversos: um estudo em ações parciais e teoria de Galois ;TESE;['WESLEY GONCALVES LAUTENSCHLAEGER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;OS ANFÍBIOS TEMNOSPÔNDILOS DA FORMAÇÃO RIO DO RASTO;DISSERTAÇÃO;['RAFAEL LUIZ ELIAS']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;A AMEAÇA PARA OS AQUÍFEROS POR UM ANTIGO ATERRO URBANO REVELADA POR MÉTODOS GEOFÍSICOS: O CASO DO ATERRO BENÓPOLIS, PORTO ALEGRE, BRASIL;DISSERTAÇÃO;['BRUNO JOSE GOLDBERG GALLAS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;DESENVOLVIMENTO DE UMA PLATAFORMA DE SIMULAÇÃO PARA AVALIAÇÃO DE ESTRATÉGIAS DE MERCADO BASEADA NO PUMA TRADING SYSTEM;DISSERTAÇÃO;['EDUARDO VIANA PEREIRA']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;PREPARO E APLICAÇÃO DE DISPOSITIVOS DE LIBERAÇÃO TRANSDÉRMICA DE FÁRMACOS UTILIZANDO AMIDO CATIÔNICO E DIALDEÍDO AMIDO;TESE;['ANDRESSA BAPTISTA NORNBERG']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;FLUXOS TURBULENTOS DE CALOR NA INTERFACE OCEANO-ATMOSFERA ASSOCIADOS À VÓRTICES DE SUBMESOESCA- LA NA BACIA DE SANTOS;DISSERTAÇÃO;['RAFAELA RIZZI']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MÉTODO EVOLUTIVO PARA RECONFIGURAÇÃO DE SISTEMAS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA COM FOCO EM REDUÇÃO NOS INDICADORES COLETIVOS DE CONTINUIDADE EM CASOS DE INTERVENÇÃO;TESE;['ARMANDO LEOPOLDO KELLER']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE; INFLUENCE OF THE DRAKE LOW AND ATMOSPHERIC RIVERS ON GLACIERS OF THE SOUTH SHETLAND ISLANDS, ANTARCTICA;TESE;['CHRISTIAN MANUEL TORRES RAMOS']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;PROTÓTIPO DE ESTAÇÃO METEOROLÓGICA BASEADA EM WI-FI E BANCO DE DADOS;DISSERTAÇÃO;['EBERTON CARGNIN DE SOUZA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;APU: ANALYTICAL PROPAGATION OF ERRORS AND UNCERTAINTIES IN DEEP LEARNING: UNCERTAINTY ESTIMATION IN THE PREDICTION OF MLP NEURAL NETWORKS IN THE DOMAIN OF PHYSICAL SCIENCES;DISSERTAÇÃO;['GERSON EDUARDO DE MELLO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;A (Trans)formação do Conhecimento Didático do Conteúdo Químico de uma Professora/Pesquisadora no Itinerário Formativo Ciclo de Vida dos Materiais;DISSERTAÇÃO;['TAVANE DA SILVA RODRIGUES']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Síntese de Derivados de Fluoresceína contendo Selênio: Ácido Arilselenínico como Agente Selenilante;DISSERTAÇÃO;['KETHELYN MACHADO DA ROSA']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;SIMULAÇÃO DE ESPALHAMENTO DE DOENÇAS EM ANIMAIS DE PRODUÇÃO: TRADUÇÃO DO MODELO NA LINGUAGEM R PARA PYTHON NA PLATAFORMA PDSA-RS;DISSERTAÇÃO;['RODRIGO SCHNEIDER']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Aplicação de Comando e Controle Ciente do Estado da Rede Através de Suporte SDN;DISSERTAÇÃO;['CARLOS ANDRE RODRIGUES DA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Autonomous manipulator robot navigation to tidy up unknown environments;DISSERTAÇÃO;['LETICIA DOS SANTOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;ANÁLISE DA FUSÃO DE SENSORES PARA IDENTIFICAÇÃO DE ATIVIDADES DIÁRIAS;DISSERTAÇÃO;['JULIO ALEXANDER SIEG']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Estudos Forenses Empregando Microespectroscopia no Infravermelho Médio e Técnicas Quimiométricas;DISSERTAÇÃO;['VICTORIA ZAGNA DOS SANTOS']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;HUMAN-COMPUTER INTERACTION PATTERNS OF DESIGN FOR MULTILINGUALISM;TESE;['DIEGO MOREIRA DA ROSA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;Desenvolvimento de um Sistema Integrado para Digitalização e Análise de Completude e Conformidade de Documentos Técnicos;DISSERTAÇÃO;['LUCAS SILVA MARCA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Producing Synthetic Instances for Textual Classification and Natural Language Inference;TESE;['LUCIANA REGINA BENCKE']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Characterizing Weight Perception in VR with Ungrounded Haptic Devices: A Study of Wrist Strain and Wrist Torque through Force-Feedback and Pendular Actuation;DISSERTAÇÃO;['FRANKLIN GIOVANI BASTIDAS CUYA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Parallelization of VVC Video Encoding Kernels using GP-GPUs;TESE;['IAGO COELHO STORCH']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;SÍNTESE DE ZEÓLITAS EMPREGANDO CÁTIONS AMÔNIO E IMIDAZÓLIO E APLICAÇÃO NA CONVERSÃO DE CO2A CARBONATOS CÍCLICOS;DISSERTAÇÃO;['ANDRESSA VIEIRA HILARIO']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;IMPACTOS DE TEMPESTADES SEVERAS NO SISTEMA ELÉTRICO DE ENERGIA DO PARANÁ: SA-MCS INDEX UMA FERRAMENTA FUNDAMENTAL DE ANÁLISE E REDUÇÃO DE CUSTOS;DISSERTAÇÃO;['ROBERTO JOSE SPISILA']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;LATENCY-AWARE SELF-ADAPTIVE MICRO-BATCHING TECHNIQUES FOR GPU-ACCELERATED STREAM PROCESSING;DISSERTAÇÃO;['RICARDO MACIEL LEONARCZYK']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;UTILIZAÇÃO DE ULTRASSOM E CAMPO ELÉTRICO PARA OBTENÇÃO DOS POLÍMEROS DO AMIDO E SUA CARACTERIZAÇÃO FÍSICO-QUÍMICA;TESE;['DIANA ALVES DE SOUSA']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;INFLUÊNCIA DE FATORES ESPAÇO-TEMPORAIS SOBRE AS CAPTURAS DE ESPI- NHEL E DISTRIBUIÇÃO DE RECURSOS PESQUEIROS PELÁGICOS: BIBLIOME- TRIA, MODELAGEM ESTATÍSTICA E APERFEIÇOAMENTO PESQUEIRO;TESE;['LUCAS DOS SANTOS RODRIGUES']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Sistematização de metodologias para avaliação de metabólitos e produtos de transformação em amostras de águas superficiais;DISSERTAÇÃO;['TIAGO CORREA FEIJO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;Determinação das seções de choque elásticas para colisões de pósitrons com as moléculas de N2, O2 e CO2 com a correção para o espalhamento em baixo ângulo;DISSERTAÇÃO;['SARAH ESTHER DA SILVA SAAB']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DISTRIBUIÇÃO DAS ÁGUAS-FONTE DA ÁGUA PROFUNDA DO ATLÂNTICO NORTE E DA ÁGUA DE FUNDO ANTÁRTICA NO OCEANO GLOBAL;DISSERTAÇÃO;['DAVID ANTONIO DE LIMA SILVA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;Diferenciabilidade em todo ponto de soluções de viscosidade do ∞-laplaciano;DISSERTAÇÃO;['ANDRE RICKES']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;MODELAGEM DISCRETA DE TRANSIÇÃO EPITELIAL MESENQUIMAL: O PAPEL DA MATRIZ EXTRACELULAR;DISSERTAÇÃO;['LUISA VARGAS CASSOL']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;AVALIAÇÃO FONOLÓGICA PERSONALIZADA COM ESTRUTURA DE DADOS OTIMIZADA;DISSERTAÇÃO;['JOAO VICTOR BOLSSON MARQUES']
PUCRS;PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL;MODELOS DE APRENDIZADO DE MÁQUINA PARA PREDIÇÃO DE ÓBITO DE PACIENTES EM HEMODIÁLISE;DISSERTAÇÃO;['DIEGO CANDIDO DE SOUZA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;AEROGÉIS HÍBRIDOS À BASE DE POLIVINILTRIMETÓXISILANO COM CADEIAS RETICULADAS: SÍNTESE, CARACTERIZAÇÃO E APLICAÇÕES;TESE;['MATHEUS COSTA CICHERO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;“Processos controladores dos fluxos de O2 E CO2 entre o oceano e a atmosfera na Patagônia Argentina”;DISSERTAÇÃO;['LUISA DE MORAES GARCIA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;ODISSEU: UM MODELO PARA SERVIÇOS INTELIGENTES NA INDÚSTRIA 4.0 BASEADO EM ANÁLISE DE HISTÓRICOS DE CONTEXTOS;TESE;['HELDER MOREIRA ARRUDA']
UFRGS;UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL;EVOLUÇÃO AMBIENTAL E CLIMÁTICA DESDE O ÚLTIMO MÁXIMO GLACIAL DE REGIÕES COSTEIRAS DO SUL DA AMÉRICA DO SUL E SEUS IMPACTOS EM ECOSSISTEMAS NATIVOS – UM ESTUDO DE CASO COM BUTIAZAIS;TESE;['EDUARDO TREIN SALGADO']
UFPEL;UNIVERSIDADE FEDERAL DE PELOTAS;A História e os Desafios das Mulheres Cientistas da Química e a Proposição de Atividades de Formação e de Ensino;DISSERTAÇÃO;['ANDRESSA SOARES BENTO']
FURG;UNIVERSIDADE FEDERAL DO RIO GRANDE;DESCRIÇÃO DOS ESTÁGIOS INICIAIS DA MIRAGAIA, POGONIAS COURBINA (LACEPÈDE, 1803);DISSERTAÇÃO;['LUCIANA BEATRIZ ANDRADE']
UFSM;UNIVERSIDADE FEDERAL DE SANTA MARIA;Quitosana funcionalizada com líquidos iônicos para adsorção de corantes;TESE;['JEAN CARLOS BAUER VIEIRA']
UNISINOS;UNIVERSIDADE DO VALE DO RIO DOS SINOS;MEPCA: A TECHNICAL MODEL TO IMPROVE ON-CHAIN ELECTRONIC HEALTH RECORDS PROCESSING;TESE;['FAUSTO NERI DA SILVA VANIN']
