Sigla;Nome;Tipo Produção;Autores
UFABC;OBTENÇÃO E CARACTERIZAÇÃO DE NANOCOMPÓSITOS DE ÓXIDO DE ZINCO EM POLIETILENOGLICOL PELA SÍNTESE “IN SITU” ASSISTIDA POR MICRO-ONDAS.;DISSERTAÇÃO;['PLINIO COELHO VITAME']
UFRN;Integrando a Lei Geral de Proteção de Dados ao Desenvolvimento de Software: Um Novo Modelo de Especificação de Requisitos aplicado na Saúde Digital;TESE;['LUANA TALITA MATEUS DE SOUZA']
UFCG;O COMPORTAMENTO TERMODINÂMICO DAS ZONAS DE MÁXIMA PRECIPITAÇÃO NA AMÉRICA DO SUL, COM ÊNFASE NA DISTRIBUIÇÃO DE ENERGIA POTENCIAL CONVECTIVA DISPONÍVEL E INIBIÇÃO CONVECTIVA;TESE;['JULIA AMANDA NANINI']
UFF;“Structured light as resource for quantum information”;TESE;['VINICIUS DE SOUZA LAMEGO']
UFPA;A APLICAÇÃO DA CROMATOGRAFIA GASOSA ACOPLADA (GC-FID), ISÓTOPOS ESTÁVEIS, PALINOLOGIA E RAZÃO C:N NA RECONSTITUIÇÃO DOS MANGUEZAIS DO ESTADO DA BAHIA E ESPÍRITO SANTO;TESE;['FERNANDO AUGUSTO BORGES DA SILVA']
UNICAMP;Propriedades geométricas de desintegração de medidas via Transporte Ótimo;TESE;['RENATA POSSOBON']
UFCG;Uso de redes neurais para busca de transientes de rádio com o telescópio BINGO;DISSERTAÇÃO;['ANA RAFAELY MEDEIROS DE OLIVEIRA']
USP;Busca de quasares com o Southern Photometric Local Universe Survey (S-PLUS);TESE;['LILIANNE MARIKO IZUTI NAKAZONO']
UNICAMP;EFEITO DA DILUIÇÃO DA ÁGUA DO MAR E ALTERAÇÃO IÔNICA NAS INTERFACES ÁGUA-ÓLEO-CALCITA;DISSERTAÇÃO;['VICTOR AUGUSTO LICIO GARCIA VILELA']
UFPE;INTERAÇÃO MACROFAUNA X MACROALGAS EM RECIFES COSTEIROS COMO INDICADOR DE URBANIZAÇÃO NA COSTA PERNAMBUCANA;DISSERTAÇÃO;['MATTHEUS NOROES PEREIRA DE ALMEIDA']
UFPEL;Balanceamento de Carga Baseado em Divisão de Tarefas Multimídia para RSSF Reativas;TESE;['WESLEN SCHIAVON DE SOUZA']
UFPA;Problemas elípticos envolvendo expoentes críticos Sobolev-Hardy em espaços generalizados  de Lebesgue-Sobolev;TESE;['RONALDO LOPES DA SILVA']
UFU;Estudo da influência de aditivos de carbono sobre as propriedades  eletroquímicas e morfologia do material ativo negativo de baterias  chumbo-ácido;TESE;['CYNTHIA MAYARA DE CARVALHO']
UFF;Contaminação histórica por micropoluentes orgânicos em testemunhos de sedimento em manguezais do Brasil;TESE;['STELLA MELGACO DE OLIVEIRA PINTO']
UFRGS;"""Astrossismologia de estrelas anãs brancas pulsantes de baixa massa""";TESE;['GABRIEL LAUFFER RAMOS']
UNB;UXAPP: Evaluation of the User Experience of Digital Products through Emotion Recognition;DISSERTAÇÃO;['RICARDO CORDEIRO GALVAO SANT ANA VAN ERVEN']
USP;Modelagem numérica da dinâmica do manto e sua interação com quilhas cratônicas da litosfera continental;TESE;['EDGAR BUENO DOS SANTOS']
UFAC;Uma proposta de framework para o tratamento de dados de crianças e  adolescentes conforme a LGPD: um estudo de caso em uma instituição de  ensino;DISSERTAÇÃO;['KEYLA OLIVEIRA DA SILVA']
UDESC;ANALYSIS OF PERFORMANCE AND SECURITY OF GENERATION OF NFTS APPLIED TO FTS OF ENVIRONMENTAL PRESERVATION AREAS;DISSERTAÇÃO;['VITOR EMANUEL BATISTA']
UFRN;ESTIMATIVA DA PRODUTIVIDADE PRIMÁRIA BRUTA EM UMA FLORESTA  TROPICAL SAZONALMENTE SECA;DISSERTAÇÃO;['IARA BEZERRA DA SILVA']
UFRPE;VOO DE LEVY, GRAFENO, TRANSPORTE ELETRÔNICO, BARREIRAS ELETROSTÁTICAS;DISSERTAÇÃO;['DIEGO BRUNO DA FONSECA']
UFBA;Benzofenonas polipreniladas de Clusia burle-marxii: um estudo químico e biológico;TESE;['MARIA DO CARMO COSTA SILVA']
UFOP;Estudo da atividade fotoprotetora e antiproliferativa in vitro das espécies vegetais Lepidaploa rufogrisea, Matayba marginata, Chamaecrista mucronata e Senna reniformis na região de Ouro Preto - MG;DISSERTAÇÃO;['GABRIELA CRISTINA FERREIRA MOTA']
UNESP-PRESIDENTE PRUDENTE;Detecção de Mudanças do Uso e Cobertura do Solo em imagens de alta resolução usando Rede Neural Convolucional;DISSERTAÇÃO;['THAMIRES GIL GODOY']
CEFET-RJ;ABORDAGENS BASEADAS EM ONTOLOGIAS PARA ANÁLISE DE SENTIMENTOS EM PORTUGUÊS DO BRASIL;DISSERTAÇÃO;['ERICA CARNEIRO QUEIROZ DA SILVA']
USP-SÃO CARLOS;Detecção de plantas daninhas utilizando imagens espectrais e Aprendizado Profundo;DISSERTAÇÃO;['FILIPE ANTUNES MARINHO']
UFPB-JOÃO PESSOA;Resolução de interferência química em análise por injeção em fluxo com detecção voltamétrica e calibração de segunda ordem;DISSERTAÇÃO;['FRANCISCO ANTONIO VIEIRA LINS']
USP;Métodos funtoriais na teoria de representações com aplicações às álgebras monomiais;DISSERTAÇÃO;['DANIEL NEGREIROS LOBO']
UFBA; Leading the Way: Reduzindo o Tráfego de Dados em Redes Ad Hoc Veiculares por Meio de Algoritmos de Líder de Cluster;DISSERTAÇÃO;['JOAO VICTOR GONCALVES FERREIRA']
UNICENTRO;INVESTIGAÇÃO DE ELETRÓLITOS PARA ARMAZENAMENTO DE ENERGIA: UMA ABORDAGEM MULTIESCALA UTILIZANDO A TEORIA DO FUNCIONAL DA DENSIDADE, DINÂMICA MOLECULAR E O MÉTODO DOS ELEMENTOS FINITOS.;TESE;['ALEX SILVA DE MORAES']
UFSC;An Automated Assessment Model of the Learning of Machine Learning in Middle and High School;TESE;['MARCELO FERNANDO RAUBER']
UESB;AVALIAÇÃO COMPORTAMENTAL DO ZEBRAFISH ADULTO  APÓS INDUÇÃO DO ESTRESSE OXIDATIVO POR FIPRONIL  UTILIZANDO O COMPLEXO METÁLICO Mg-(HESP)2-PHEN;DISSERTAÇÃO;['GABRIELA PEREIRA CARDOSO']
IMPA;Modularity and Enumerative Geometry of Physical Invariants;TESE;['FELIPE ESPREAFICO GUELERMAN RAMOS']
UFPB-JOÃO PESSOA;Pontos críticos de energia mínima para funcionais sobre cones;DISSERTAÇÃO;['YASMIN LOPES DE CARVALHO']
UFRJ;Otimização de Portfólio utilizando Computação Quântica com método QAOA;DISSERTAÇÃO;['DIEGO ATHAYDE MONTEIRO']
UFJF;Construções de Emparelhamentos de Arestas de Polígonos Regulares;DISSERTAÇÃO;['FRANCIELLE ALVES RODRIGUES']
USP;Avaliação e classificação de ciclones de escala sinótica sobre a América do Sul em simulações de alta resolução no clima presente e projeções futuras;TESE;['ANDRESSA ANDRADE CARDOSO']
UNICAMP;Métodos heurísticos para o problema de corte de estoque com limitação de pilhas abertas e aplicação à indústria de móveis;DISSERTAÇÃO;['NATALIA DA SILVA RODRIGUES']
USP;Estrutura e fotoquímica de nucleobases modificadas fluorescentes;TESE;['LEONARDO MIGUEL FARIAS DE OLIVEIRA']
UERJ;Síntese e caracterização de fosfatos de cálcio ferro substituídos a partir da casca do ovo da galinha, destinados ao tratamento de perdas ósseas;TESE;['LUIZ CLAUDIO SILVA GOMES']
UEG;SÍNTESE ONE POT DE HÍBRIDOS DE CUMARINA E PIRIDINA: ESTUDO DA RELAÇÃO ESTRUTURA-ATIVIDADE E AVALIAÇÃO DE SEU POTENCIAL ANTIBACTERIANO;DISSERTAÇÃO;['HUDIEYLLEN ALVES MOREIRA']
UFS;Análise de Desempenho de Redes de Satélites de Órbita Geoestacionária e Órbita Baixa para uso em Aplicações de IoT  com os Protocolos MQTT e CoAP;DISSERTAÇÃO;['RODRIGO CAVALCANTE FARIA']
UFC;Protótipos de bioproduto com atividade vasoativa em artérias aorta isoladas de ratos Wistar: ácido centipédico isolado de Egletes viscosa Less e derivados reacionais;DISSERTAÇÃO;['RIVER JORDAN DE OLIVEIRA MESQUITA']
UFABC;Análises das atividades antimicrobianas de peptídeos provenientes de venenos de animais;TESE;['KATIELLE ALBUQUERQUE FREIRE']
UFAL;HIPOELIPTICIDADE GEVREY OTIMA PARA UMA CLASSE DE OPERADORES;DISSERTAÇÃO;['BARBARA AMORIM NETO']
UNICAMP;De sistemas de partículas às equações estocásticas de dinâmica de fluidos;TESE;['JESUS MANUEL CORREA LORA']
UFPA;NEW NONTRIVIAL QUANTUM VACUUM GEOMETRIC EFFECTS: VALLEY AND  INTERMEDIATE REGIMES AND REPULSIVE BEHAVIORS OF THE LATERAL CASIMIR- POLDER FORCE;TESE;['LUCAS QUEIROZ SILVA']
UFPI;Composição de filmes de alginato de sódio contendo nanopartículas de óxido de cobre sintetizadas usando extrato aquoso da espécie Turnera subulata (chanana) e avaliação do potencial cicatrizante in vivo;TESE;['FELIPE ALVES BATISTA']
UNB;Hidrocarbonetos Policíclicos Aromáticos em Material Particulado Atmosférico do Distrito Federal;DISSERTAÇÃO;['NICKOLAS VALCARCEL DA SILVA']
UFPI;Clones de Cajueiro Anão: Perfil de Ácidos Graxos, Análise Metalômica e Estudo do Potencial Antioxidante de Castanhas de Caju (Anacaridium occidentale L.);TESE;['MIKAEL KELVIN DE ALBUQUERQUE MENDES']
UEM;Introduzindo Práticas de Experiência do Usuário em Startups de Software: Um Estudo de Viabilidade;DISSERTAÇÃO;['GUSTAVO GATTI ALVES']
UNICAMP;Estudo da Interatividade em Sistemas Dinâmicos Discretos com Condições Iniciais Fuzzy;DISSERTAÇÃO;['YNGRID ZACHARIAS DELGATO']
PUCRS;DIVERSITY IN VIRTUAL HUMANS: UNVEILING BIASES IN HUMAN CHARACTERISTICS;TESE;['VICTOR FLAVIO DE ANDRADE ARAUJO']
UFBA;Energética das reações entre o H2CN e o nitrogênio atômico nos estados eletrônicos fundamental (4S) e primeiro excitado (2D);DISSERTAÇÃO;['DANIEL DE MOURA OLIVEIRA']
UFMT;Sistemas Magnéticos Desordenados Clássicos e Quânticos;TESE;['CLAUDIO MARCELO SALGADO']
UFMG;Propriedade fraca de Lefschetz e a classificação de sistemas de Togliatti minimais monomiais;DISSERTAÇÃO;['JANAINE GERALDA MESQUITA MARTINS']
USP;A geometria métrica das aplicações pseudo-Anosov generalizadas;TESE;['LUCIANA MENEZES VASCONCELOS']
UNICAMP;Acidity of 2D lamellar aluminosilicates in the presence and absence of water;DISSERTAÇÃO;['PAULLA BEATRIZ FRANCA DE SOUSA']
UFLA;PROPRIEDADES ESTRUTURAIS, ELETRÔNICAS E MAGNÉTICAS DE UMA MONOCAMADA DE BIFENILENO DEPOSITADA SOBRE SUPERFÍCIES METÁLICAS;DISSERTAÇÃO;['MAICON PEREIRA LEBRE']
UFBA;Remoção de bisfenol-A por hydrochar ativado por H3PO4: Descrição termodinâmica por comparação, modificação e cooperação de modelos;DISSERTAÇÃO;['MATHEUS CHAVES MOREIRA DA SILVA']
UFC;EXTRAÇÃO EM FASE SÓLIDA MAGNÉTICA DE ELEMENTOS TRAÇOS EM ÁGUA PRODUZIDA DA EXTRAÇÃO DE PETRÓLEO DA CAMADA PRÉ-SAL E DETECÇÃO POR ICP-OES;DISSERTAÇÃO;['MARADONA CAVALCANTE DA SILVA']
UNESP-SÃO JOSÉ DO RIO PRETO;Estratégias para Seleção de Classificadores Baseadas em Programação Genética para Reconhecimento de Dados Multimídia;DISSERTAÇÃO;['RAFAEL JUNQUEIRA MARTARELLI']
UNIRIO;Sentiment Gradient – Expansion of the Power of Sentiment Analysis;TESE;['FERNANDO CARDOSO DURIER DA SILVA']
USP-SÃO CARLOS;Nanocatalisadores de Pt suportados em materiais de carbono de alta área superficial para reação de oxidação de amônia;TESE;['SEITI INOUE VENTURINI']
UFAL;Investigação do comportamento celular em ambientes poliméricos biocompatíveis e microestruturados por litografia 3D multifotônica;TESE;['LAURA MAISA SOUZA DOS SANTOS']
UNICAMP;Teoria de Morse em Orbivariedades;DISSERTAÇÃO;['VINICIUS JOSE JOAQUIM FERREIRA']
USP-SÃO CARLOS;Estudo da via de biossíntese da vitamina B1 (tiamina) em Enterococcus faecalis;TESE;['RAISSA FERREIRA GUTIERREZ']
USP-SÃO CARLOS;Controle H2 invariante e filtragem para sistemas com saltos markovianos em tempo reverso;TESE;['LUIZ HENRIQUE ROMERO']
UFU;SENSOR DE GRAFITE/ÁCIDO POLILÁTICO IMPRESSO EM 3D PARA A  DETERMINAÇÃO ELETROQUÍMICA DO EXPLOSIVO 2,4,6­TRINITROTOLUENO;DISSERTAÇÃO;['GILVANA PEREIRA SIQUEIRA']
UEL;Fibras de óxidos metálicos obtidas por eletrofiação aplicadas na geração fotoeletrocatalítica de hidrogênio;TESE;['BEATRIZ CAETANO BENUTO']
UNICAMP;Sedentarism Detection Using Wearable Signals, Machine Learning and Visual Analytics;DISSERTAÇÃO;['ALEXIS ALDO MENDOZA VILLARROEL']
UFSCAR;Contribuições para modelos gerais de diagnóstico cognitivo;TESE;['RENATO DA SILVA FERNANDES']
UFMS;ESTUDO FITOQUÍMICO DE CROTON URUCURANA (EUPHORBIACEAE), UMA PLANTA MEDICINAL E DE VERNONIA RUBRICAULIS (ASTERACEAE), UMA PLANTA TÓXICA PARA RUMINANTES;TESE;['PAMELA RAFAELA DO PRADO']
IME;ARQUITETURA MULTICAMADAS PARA COLETA E ANÁLISE DE DADOS DE SAÚDE EM TEMPO REAL EM AMBIENTES EXTERNOS, INTEGRANDO  FOG COMPUTING E CLOUD COMPUTING;DISSERTAÇÃO;['JUAN FELIPE SOUZA OLIVEIRA']
INPE;TENDÊNCIAS DAS PRECIPITAÇÕES EXTREMAS NA REGIÃO  METROPOLITANA DA BAIXADA SANTISTA;DISSERTAÇÃO;['MATHEUS GOMES TAVARES']
CBPF;Contribuição para o desenvolvimento de um microCTD para monitoramento oceanográfico em águas rasas;DISSERTAÇÃO;['ALAN JULIO DE ALMEIDA']
UFLA;ASPECTS OF NON-HERMITIAN QED.;DISSERTAÇÃO;['NATHAN BASTOS XAVIER']
UFMT;Análise da Gestão de Águas Subterrâneas em Mato Grosso;DISSERTAÇÃO;['BRUNA ROCHA MACHADO']
USP-SÃO CARLOS;Speech2Learning: Uma Arquitetura de Software Baseada em Reconhecimento de Fala para Promover a Acessibilidade de Objetos de Aprendizagem;TESE;['VENILTON FALVO JUNIOR']
UFRJ;Investigating room temperature crystallinity of hydroxyapatite thin coatings produced by Nd:YAG (532 nm) pulsed laser deposition;DISSERTAÇÃO;['BRUNO HONORATO MOREIRA SCORZELLI']
UNICAMP;Métodos analíticos para a formulação da oscilação de neutrinos;DISSERTAÇÃO;['CARLOS JAVIER GOMEZ FUENTES']
UERJ;Análise do deslizamento translacional de 2022 na enseada da praia de Itaguaçu em Ilha Grande - RJ;DISSERTAÇÃO;['CAROLINA MARTINS LATGE KWAMME']
IPT;Aplicação de heurísticas espaçotemporais na análise de Registros de Detalhes de Chamadas (CDR) para a construção de base de dados de deslocamento urbano;DISSERTAÇÃO;['EDER MAURICIO BARBOSA']
USP-SÃO CARLOS;Extracellular and membrane-derived nanovesicles from tumor cells as nanocarriers for immunomodulatory agents delivery;DISSERTAÇÃO;['JOAO VICTOR BRANDAO QUITIBA']
PUC-RIO;Optical detection of quantum geometrical properties in singlet superconductors;DISSERTAÇÃO;['DAVID FERNANDO PORLLES LOPEZ']
UNIFOR;APRIMORAMENTO DA ESCRITA JURÍDICA ATRAVÉS DO SOFTWARE AILA;DISSERTAÇÃO;['MARCUS VINICIUS BARBOSA NUNES DE MIRANDA']
UFMS;Avaliação da Tecnologia Lora em Cenários de IoT na Suplementação de Bovinos de Corte;DISSERTAÇÃO;['JORCEL MARTINS DE LIMA']
IMPA;Some Problems in Extremal, Additive and Probabilistic Combinatorics;TESE;['LUCAS SOUZA MOTA DE ARAGAO']
USP;Envigoração da Convecção Profunda? Uma análise dos sistemas convectivos na Amazônia e do papel da termodinâmica e dos aerossóis;TESE;['CAMILA DA CUNHA LOPES']
UFAM;"""UTILIZANDO REDES NEURAIS CONVOLUCIONAIS SIAMESAS PARA FILTRAGEM DE IMAGENS VAZIAS EM DADOS DE ARMADILHAS FOTOGRÁFICAS""";DISSERTAÇÃO;['LUIZ FABIO BAILOSA DE ALENCAR']
UNICAMP;Medidas de Caos em Dimensão Infinita;DISSERTAÇÃO;['FELIPE CARVALHO SILVA']
USP;Bioluminescência, fotoproteínas e função ecológica da poliqueta Harmothoe sp.;TESE;['GABRIELA VERRUCK DE MORAES']
UFCG;Exploring Social Debt and Gender Diversity in Software Teams: Effects on Task Estimation and Team Dynamics;TESE;['CAMILA FREITAS SARMENTO']
UNIOESTE;Aplicação de Planejamento Fatorial no Estudo de Degradação Forçada em Meio Ácido de Matéria-Prima de Apixabana;DISSERTAÇÃO;['IGOR NATA FAGUNDES RODRIGUES']
UFSC;Fluxos e composição da matéria no continuum terra-mar do estuário do rio Itajaí-Açu e plataforma adjacente (SC);DISSERTAÇÃO;['JULIANA HAYDEN']
UFPA;EXPERIÊNCIA NA IMPLEMENTAÇÃO DE UM MODELO DE GESTÃO DE PD&I  EM UM GRUPO DE EMPRESAS PARAENSES COM O USO DE FERRAMENTAS  DIGITAIS E PRÁTICAS ÁGEIS.;DISSERTAÇÃO;['ALINE SANTOS DE OLIVEIRA']
UFF;A INFLUÊNCIA DA INTENSIFICAÇÃO DOS VENTOS ALÍSIOS ZONAIS NO AQUECIMENTO DA SUPERFÍCIE NA MARGEM OESTE DO ATLÂNTICO SUL DURANTE A TRANSIÇÃO PARA O GLACIAL NO ESTÁGIO DE ISÓTOPO MARINHO 4;DISSERTAÇÃO;['ANA BEATRIZ PEDRAZZI CHACON']
USP;Otimização do sinal de correlação cruzada CMB-galáxias para estudos de efeito Sachs-Wolfe integrado;DISSERTAÇÃO;['ARTHUR DINIZ MEIRELLES']
UFC;MARIA: Monitoramento e Análise para Resposta Imediata a Ataques à Rede 5G;DISSERTAÇÃO;['CLEITIANNE OLIVEIRA DA SILVA']
UFRN;Sintese de nanotubos de carbono a partir da conversao catalitica do etilbenzeno sob oxidos de SrFe12O19/SiO2: Aplicacao na fotodegradacao do corante industrial remazol vermelho;TESE;['ADRIANA PERPETUA FIGUEIREDO PAULISTA']
UFG;AVALIAÇÃO DO DESEMPENHO AMBIENTAL DE TRÊS ESTAÇÕES DE TRATAMENTO DE ESGOTO EM GOIÂNIA-GO: APLICAÇÃO DE UM TRATAMENTO TERCIÁRIO;DISSERTAÇÃO;['LARISSA QUEIROZ SILVA']
UFC;SENSOR ELETROQUÍMICO BASEADO EM ÓXIDO DE GRAFENO REDUZIDO E ESTANATO DE ZINCO PARA DETERMINAÇÃO DE PROMETAZINA;DISSERTAÇÃO;['ANDREZA LOPES MOREIRA']
USP;Mechanistic study of CO2 and cyclohexene oxide polymerization catalyzed by homogeneous bimetallic catalysts;TESE;['LUCAS WELINGTON DE LIMA']
UFPI;Hipersuperfícies Capilares na Bola Euclidiana: Estabilidade e Instabilidade;DISSERTAÇÃO;['ISAQUE FELIX CAMPOS']
USP-RIBEIRÃO PRETO;Eletrodo modificado de Fe-N-C para redução de oxigênio: estudo cinético em meio ácido.;DISSERTAÇÃO;['MATHEUS MARTINS']
UNB;Some Caffarelli-Kohn-Nirenberg’s type problems in RN;TESE;['GEORGE DEMETRIOS FERNANDES LEITAO KIAMETIS']
UFPI;Síntese, caracterização e atividade fotocatalítica da  heterojunção Ag3PO4/UMOFNs na degradação do antibiótico  levofloxacina sob irradiação WLEDs;TESE;['JOAO FERREIRA DA CRUZ FILHO']
UFPB-JOÃO PESSOA;Obtenção de microcelulose de resíduos vegetais: casca da vagem de feijão caupi (Vigna unguiculata), palha de milho (Zea mays L.) e casca de abacaxi (Ananas camosus) e aplicação em filmes para embalagens alimentícias;TESE;['PRISCILA SANTOS SOUZA']
UNICENTRO;Análise do comportamento eletroquímico de 2 – Mercaptobenzotiazol em Célula Solar Sensibilizada por corante;TESE;['LETICIA FERNANDA GONCALVES LARSSON']
UEPB;Caracterização fitoquímica, otimização da extração e quantificação dos princípios ativos do cogumelo Psilocybe cubensis;DISSERTAÇÃO;['MATEUS ARAUJO DA LUZ']
UFF;"Uma Abordagem Híbrida para Resolver o Problema de Roteamento de Veículos ""Roll-On Roll-Off"" (RRVRP)";TESE;['ALDO ELIADES FERNANDEZ PEREZ']
UFRJ;Inferências paleoambientais a partir da distribuição estratigráfica da matéria orgânica sedimentar de uma seção da Formação López de Bertodano (Maastrichtiano), Ilha Seymour, Antártica;DISSERTAÇÃO;['HELOISA COSTA DE JESUS']
UFPE;AVALIAÇÃO DA TOXICIDADE DO LIXIVIADO DE BITUCAS DE CIGARRO SOBRE O MEXILHÃO Mytella charruana;DISSERTAÇÃO;['JULIA DE ARAGAO SOARES GRIZ']
UTFPR;Análise dos efeitos do sal perclorato de lítio sobre o desempenho de transistores com porta eletrolítica à base de mel;DISSERTAÇÃO;['JESSICA NAYARA PATRZYK']
UFPE;CORREÇÃO DE VIÉS NO MODELO DE REGRESSÃO BETA NÃO  LINEAR;DISSERTAÇÃO;['CLARICE DE OLIVEIRA NOGUEIRA']
UNIRIO;Desenvolvimento de Histórias em Quadrinhos como Ferramenta Pedagógica para o Uso de Habilidades do Pensamento Ccomputacional no Ensino da Língua Portuguesa;DISSERTAÇÃO;['ALBERT RODRIGUES DE SOUZA CATOJO']
UNB;Formas de grau 3m sobre extensões quadráticas de Q3;TESE;['BRUNA MARIA FRUTUOSO']
UERN;Efeitos do Comportamento da Fase Refletida de Ferrimagnetos e Antiferromagnetos em Estruturas Magneto-Ópticas;TESE;['VANDEILMA BEZERRA DA SILVA']
ITA;APLICAÇÃO DO MÉTODO RECORD LINKAGE NAS BASES DE DADOS DO  SUS;DISSERTAÇÃO;['LUCAS GERKEN GLORIA']
UNB;Preparação de carbonos ativados funcionalizados com nitrogênio e sua aplicação como eletrocatalisadores livres de metais;TESE;['SILVIA DA CUNHA OLIVEIRA']
UFRJ;PEDRAS DO PATRIMÔNIO DA CIDADE DO RIO DE JANEIRO E MÉTODOS DE DIAGNÓSTICO PARA SUA CONSERVAÇÃO;TESE;['NURIA FERNANDEZ CASTRO']
UNICAMP;Pluralismo Epistemológico em simulações econômicas para crianças;DISSERTAÇÃO;['YAN PRADA MORO']
USP;Classificação de Weather Patterns e suas relações com extremos de onda no Litoral Sul e Sudeste do Brasil;DISSERTAÇÃO;['MATHEUS BONJOUR LAVIOLA DA SILVA']
UEPG;Transferência de estados quânticos e emaranhamento de formação em cadeias e grafos de spin-1/2;DISSERTAÇÃO;['PAULO EDUARDO LOPES DA ROSA']
UFBA;Integrabilidade Segundo Darboux de Sistemas que Descrevem Aplicações Harmônicas;DISSERTAÇÃO;['IGOR BARBOSA AROUCA']
USP;Busca de nova física com o experimento JUNO;DISSERTAÇÃO;['ANTONIO PEDROSA FERREIRA']
UFRGS;ContAudIT - Uma Abordagem de Auditoria Contínua com Blockchain para Gerenciamento de Mudanças em TI;DISSERTAÇÃO;['CARLOS EDUARDO DOS SANTOS FRAGA']
UFU;Termometria óptica e conversão de  energia em partículas de TiO2 dopadas com  íons TR3+ obtidas pelo método sol-gel;DISSERTAÇÃO;['JORDY ANGELO CARNEIRO']
UFSC;Interação Paramétrica de Feixes Gaussianos Parcialmente Coerentes com Twist;TESE;['GUSTAVO HENRIQUE DOS SANTOS']
UFRGS;DFA and DCCA estimation in the presence of missing data								 								 								;DISSERTAÇÃO;['ALISSON SILVA NEIMAIER']
UFSCAR;Simulador de Alto Nível para Network-on-Chip: Método e Ferramenta para a Exploração de Estratégias de Mapeamento e Roteamento.;TESE;['PAULO CESAR DONIZETI PARIS']
UFMG;INFLUÊNCIAS E PRESSÕES ENTRE O CONTEXTO HÍDRICO-CÁRSTICO E OS PROCESSOS ANTRÓPICOS: uma abordagem holística das interações sistêmicas entre a sociedade e o contexto geológico na cidade de Sete Lagoas - MG e seus desdobramen;DISSERTAÇÃO;['ICARO ASSIS CRUZ']
ITA;ANÁLISE BAYESIANA DE MODELO HADRÔNICO RELATIVÍSTICO RESTRINGIDO POR OBSERVAÇÕES RECENTES DE ESTRELAS;TESE;['BRUNO ALVES DE MOURA SOARES']
UFPB-JOÃO PESSOA;Estudo teórico de propriedades do estado excitado de proteínas fluorescentes;DISSERTAÇÃO;['BRENO XAVIER PORTO ALVES']
UFPE;: MONITORANDO REDES EM INTERNET DAS COISAS (IoT): segurança de baixo custo com Suricata;DISSERTAÇÃO;['RICARDO HELISSON BEZERRA AMORIM']
UNICAMP;Aplicação do Monte Carlo quântico variacional no cálculo de energias de ionizações simples, duplas e transições Auger de moléculas simples;DISSERTAÇÃO;['JOSUE DE JESUS OLIVEIRA ARAUJO']
UFMG;Optical properties of MoS2 from different sources and polarization-dependent B-Exciton emissions;DISSERTAÇÃO;['VITOR DE MELO ALMADA']
UFAL;On the role of spatial coherence of optical beams in one dimensional photonic lattices;DISSERTAÇÃO;['MIQUEIAS JACINTO CIRINO']
UNB;PREPARAÇÃO, CARACTERIZAÇÃO E ATIVIDADE CATALÍTICA DO TRIÓXIDO DE TUNGSTÊNIO SUPORTADO NA ZEÓLITA *BEA HIERARQUIZADA;DISSERTAÇÃO;['ROBERTO CHAVES FERNANDES']
UFMG;The Use of Geotechnologies as Input in Geological Risk Monitoring: Comparative Case Study of Drone vs. Satellite Products in the Pedra Grande Region, Atibaia - SP;DISSERTAÇÃO;['FELIPE MOTA POLONI']
UNIFEI;Avanços no tratamento do Glioblastoma Multiforme via Tumor Treating Fields: desenvolvimento de um banco de dados otimizado de simulações usando o SimNIBS;DISSERTAÇÃO;['RANULFO DA SILVA DIAS']
UPE;Método de Medição de Rotação Através de Visão Baseada em Eventos;TESE;['GEORGE OLIVEIRA DE ARAUJO AZEVEDO']
USP-SÃO CARLOS;Higher-order QCD in Higgs to gluon gluon;DISSERTAÇÃO;['GUILHERME DE ARAUJO NOGUEIRA']
UNICAMP;Modelos Preditivos para a Síndrome Metabólica e Resistência à Insulina em Adolescentes;DISSERTAÇÃO;['GABRIELLI ALEXANDRA SILVA BAGATTINI']
UNESP-RIO CLARO;Avaliação pedohidroquímica de área úmida geograficamente isolada da bacia do rio Corumbataí (SP);TESE;['ANDRE LUIS REIS BACHA']
UFRJ;On the Computation of Sparse Reflexive Generalized Inverse;DISSERTAÇÃO;['GABRIEL OLIVEIRA DA PONTE']
UFF;Taxonomia de equiúros  (Thalassematidae: Annelida) do  litoral brasileiro;DISSERTAÇÃO;['MATHEUS VIANNA DE SOUSA']
ITA;APLICAÇÃO DO MÉTODO DFT-1/2 EM ISOLANTES TOPOLÓGICOS 3D;TESE;['TULIO MOTA DOS SANTOS']
UFSC;ESTATÍSTICA NÃO-EXTENSIVA EM COLISÕES DE ÍONS PESADOS;DISSERTAÇÃO;['JULIANA OLIVEIRA COSTA']
UFPB-JOÃO PESSOA;Sincronismo em língua de sinais: Uma investigação de técnicas para redução da dissincronia entre o Português e a tradução automática para Língua Brasileira de Sinais;DISSERTAÇÃO;['RICHELIEU RAMOS DE ANDRADE COSTA']
UFF;AUMENTO DA PRODUÇÃO DE METANO E DIÓXIDO DE CARBONO EM SOLOS DURANTE ENCHENTES EXTREMAS NA PLANÍCIE DE INUNDAÇÃO AMAZÔNICA (RIO MADEIRA);DISSERTAÇÃO;['ANA LUISA FONSECA DE OLIVEIRA']
UNB;Soluções do Fluxo de Curvatura Média sob o Movimento Helicoidal Homotético;DISSERTAÇÃO;['JORGE LUCAS DE AZEVEDO RIBEIRO']
UFSCAR;Modelos Skellam Generalizados;TESE;['MARINA GANDOLFI']
