Sigla;Nome;Tipo Produção;Autores
UNESP-ARARAQUARA;Sensor eletroquímico baseado em polímero molecularmente impresso em superfície nanoestruturada com óxido de grafeno reduzido para determinação enantiosseletiva de (D) e (L)-limoneno;DISSERTAÇÃO;['BRUNA GABRIELLE OLSEN PINTO']
UNIFACS;OTIMIZAÇÃO DE REDES SDN ATRAVÉS DA COLETA DE DADOS CONTEXTUAIS COM CAARF-SDN;DISSERTAÇÃO;['CONSTANTINO JACOB MIGUEL']
UFBA;Determinação de Resíduos de Fármacos de Diferentes Classes Terapêuticas, como Contaminantes Emergentes em Águas Residuais,  de Esgoto e de Estação de Tratamento de Esgoto (E.T.E.), Coletadas em Salvador e Porto Seguro, Bahia;TESE;['TAMIRES SANTOS VAZ']
UNICAMP;STUDY OF THE CORRELATION BETWEEN ACTIVITY AND STABILITY OF METAL OXIDES AS ELECTROCATALYSTS FOR WATER REMEDIATION;TESE;['IGOR MESSIAS']
UFPE;Aprendizagem Contínua para Classificação de Imagens;DISSERTAÇÃO;['LUCAS AUGUSTO MOTA DE ALCANTARA']
UNB;O teorema da flutuação-dissipação na transição de fase: Expoente de Fisher pela perspectiva da dinâmica fractal;DISSERTAÇÃO;['KAUE HERMANN ABBEHAUSEN']
UFF;Mineração de Processos em Dados Governamentais Abertos;TESE;['GYSLLA SANTOS DE VASCONCELOS']
UFU;A propriedade positiva de Schur em reticulados de Banach;DISSERTAÇÃO;['JUAN DAVID RUBIO TABARES']
UFPE;Agrupamento Dinâmico para Reconhecimento Visual de Lugares;DISSERTAÇÃO;['ADRIEL FILIPE LINS ALVES DA SILVA']
UFBA;Uma Investigação sobre Análise de Sentimentos e Categorização de Issues Reabertas do GitHub;TESE;['GLAUCYA CARREIRO BOECHAT']
UFRPE;UM ESTUDO SOBRE O IMPACTO DO AUMENTO DE DADOS NO TREINAMENTO DE REDES NEURAIS CONVOLUCIONAIS NA PRESENÇA DE RÓTULOS RUIDOSOS;DISSERTAÇÃO;['EMESON JOSE SANTANA PEREIRA']
USP-SÃO CARLOS;Estudo da interação do ultrassom com tecidos biológicos em diferentes condições de aplicação;DISSERTAÇÃO;['IAGO SILVA E CARVALHO']
UFBA;ESTUDO FITOQUÍMICO DAS RAÍZES DE Schinus terebinthifolia COM PROPOSTA DE EXTRAÇÃO ALTERNATIVA DE COMPOSTOS FENÓLICOS EMPREGANDO SOLVENTES EUTÉTICOS;DISSERTAÇÃO;['JEAN LUCAS SILVA DE ALMEIDA']
UNICENTRO;Modificação da argila montmorilonita sódica utilizando diferentes  solventes orgânicos: uma nova metodologia;TESE;['ADRIANA STOSKI']
UERJ;"""Ecologia alimentar, partição de nicho isotópico e uso do habitat de odontocetos da costa sudeste e sul do Brasil""";TESE;['MARIANA CAPPELLO NEVES']
UNIFESSPA;AVALIAÇÃO DO USO DO CARVÃO ATIVADO OBTIDO A PARTIR DA CASCA DA MANDIOCA PARA ADSORÇÃO DE AZUL DE METILENO E AMOXICILINA;DISSERTAÇÃO;['NEEMIAS LEVI DOS SANTOS MASCARENHAS']
UFF;“Universal properties of weak and strong thermalization”;DISSERTAÇÃO;['LUIS FERNANDO DOS PRAZERES REIS']
UFT;ESTUDO TEÓRICO DE DENDRÍMERO DE POLIÉSTER TIPO BOW-TIE PARA ENTREGA DE SUBSALICILATO DE BISMUTO A PACIENTES PORTADORES DE RETOCOLITE ULCERATIVA;DISSERTAÇÃO;['VINICIUS SOUZA MACEDO']
UFABC;Modelos Oligomórficos para Populações Sexuadas;DISSERTAÇÃO;['DANIEL SAGGIOMO DE CAPRIO']
UFPE;Análise dos efeitos de luz parcialmente coerente em medidas de termometria por luminescência;DISSERTAÇÃO;['DAYVID MELLO NASCIMENTO']
FURB;FOTODEGRADAÇÃO DO AGROTÓXICO PIRACLOSTROBINA COM NANOCATALISADORES DE ÓXIDO DE ZINCO E AVALIAÇÃO ECOTOXICOLÓGICA;DISSERTAÇÃO;['DANIELA CRISTINA HORST PEREIRA METZ']
UFSC;Uma abordagem  para a integridade dos dados na preservação de evidências forenses usando identidades auto-soberanas;DISSERTAÇÃO;['CRISTIAN ALVES DOS SANTOS']
